5,Base,Only Warm-up,Only Frac-SECs,Only Post-heu,All 
31,23.055472,30.456174,19.295650,23.159745,9.047818 
32,10.850501,15.001105,5.005642,14.343936,8.921672 
33,51.399359,97.734264,70.130429,36.597238,25.711574 
34,20.617017,19.954731,15.770047,15.331316,10.491766 
35,17.069071,20.375393,8.038698,16.822073,9.564230 
36,34.589479,38.336761,13.650406,18.030312,10.472617 
37,21.989996,16.261945,10.248694,16.287468,10.916509 
38,22.922613,18.538861,9.942845,14.199863,7.171430 
39,19.330956,35.710538,15.895630,8.089738,7.963096 
40,17.115209,18.150552,12.825074,15.584756,11.525914 
