5,Base,Only Warm-up,Only Frac-SECs,Only Post-heu,All 
1,25.063215,16.763181,9.824877,16.382366,8.378388 
2,23.570689,17.299207,18.588655,21.212515,9.242404 
3,17.980202,17.307305,10.305531,11.565439,6.951955 
4,6.358792,13.919686,5.285091,12.838979,6.025512 
5,12.373686,16.236735,9.324507,6.935442,5.964364 
6,22.064500,21.111478,23.231540,11.343797,7.208507 
7,20.513967,24.771902,24.464052,13.026763,9.112846 
8,8.354071,11.367873,7.439453,8.244473,8.127674 
9,14.153190,17.091253,8.735042,9.232119,7.384776 
10,22.482809,21.070031,9.325192,18.942696,7.657318 
