5,Fixed min,Fixed max,Random,Linear,Sinusoidal 
1,117453.0848751,114380.2586441,115245.3988161,115309.0975141,116005.5356531 
2,106484.4624491,107140.3868691,106991.7625271,105582.0646411,105203.5486211 
3,109316.7718471,109344.0790011,111465.8361851,110034.6769651,109374.1824221 
4,114136.7117631,113323.7872321,112786.6193891,112450.5235051,113591.4125911 
5,110929.4539531,112280.2722421,111146.1594431,110562.8581251,111485.6687911 
6,112937.9944391,109455.7359961,110172.9298081,109382.6005211,108756.6767821 
7,110953.6816121,110494.8657741,111833.9170381,110036.0522881,110198.3396131 
8,114412.6808651,112197.8280221,112443.7318131,113000.5190821,112438.1151071 
9,109797.3386691,109600.6470791,111062.2856861,110802.8088631,109245.0567121 
10,109895.9974071,110070.4574131,111010.6944571,109731.8623781,109639.4129291 
11,109533.4927971,110272.7478581,110641.0914131,109976.7171111,108804.8017131 
12,115375.6456731,115557.6036301,116148.9493521,113754.1028001,113277.1242311 
13,110995.7184501,109988.9965471,110614.8482661,110240.8166751,109943.1107671 
14,110518.3279251,111136.1279391,110331.7531741,110173.6755931,108531.9324601 
15,113619.3999091,113458.1284011,114871.4431261,112745.3638551,113218.2833701 
