6,3-opt x1,3-opt x3,3-opt x5,5-opt x1,5-opt x3,5-opt x5 
1,245979.136165,245776.780083,245788.344159,245948.362395,245645.305917,246045.454203 
2,242999.113594,243801.598243,245185.171549,244678.468017,245286.238797,245550.083021 
3,246464.129885,245362.641198,246558.271500,244977.382278,245678.088718,246745.869122 
4,244059.826175,244405.445013,246066.235656,243895.390310,243467.422269,246066.235656 
5,243827.702373,243967.260579,243821.960466,243967.260579,243490.578314,243967.260579 
6,239549.169835,239866.534015,240273.253585,239234.890476,240273.253585,240252.321529 
7,244961.625701,242788.966535,245376.241118,244867.645664,244933.998774,244682.204810 
8,242317.857312,242772.329685,242996.559642,242906.841630,242996.559642,242996.559642 
9,240711.571091,240274.686997,242190.668028,242411.124607,242411.124607,242390.795840 
10,246572.559627,245428.987535,244659.234109,246400.534470,245690.816819,245778.406713 
